fbref_id,Player,Season_End_Year,pos_primary,age_y,std_Min_Playing,Squads,Comps,eligible,grp_prod,grp_progress,grp_chance,grp_stability,grp_defense,score_position,style,style_confidence,score_style,ability,fut_year,fut_ability,survived
c693347d,Andreas Cornelius,2018,FW,24.0,934.0,Atalanta,Serie A,True,67.2,57.1,58.9,18.5,51.7,57.1,타겟맨,0.57,56.6,56.8,2021.0,37.4,1
c693347d,Andreas Cornelius,2020,FW,26.0,1494.0,Parma,Serie A,True,74.3,47.6,42.6,21.6,57.2,55.6,타겟맨,0.26,58.9,57.2,,,0
c69ef855,Alexis Blin,2018,MF,20.0,1886.0,Toulouse,Ligue 1,True,36.1,27.6,14.9,46.6,57.9,34.7,수비형 파괴자,0.33,47.3,41.0,2020.0,48.6,1
c69ef855,Alexis Blin,2019,MF,21.0,1990.0,Amiens,Ligue 1,True,16.0,23.2,11.2,53.2,75.2,33.5,수비형 파괴자,1.62,55.8,44.6,,,0
c69ef855,Alexis Blin,2020,MF,22.0,1841.0,Amiens,Ligue 1,True,20.6,31.5,6.5,59.3,77.8,37.4,수비형 파괴자,1.18,59.8,48.6,,,0
c6dc9ecd,Harry Wilson,2020,MF,22.0,1646.0,Bournemouth,Premier League,True,74.3,42.4,50.9,32.9,48.0,47.8,공격형 MF,1.09,53.9,50.8,,,0
c6e5d20f,Thiago Mendes,2018,MF,25.0,2294.0,Lille,Ligue 1,True,61.0,74.8,72.4,44.7,45.0,61.8,공격형 MF,0.0,65.4,63.6,2021.0,60.0,1
c6e5d20f,Thiago Mendes,2019,MF,26.0,3074.0,Lille,Ligue 1,True,35.3,57.2,59.5,54.4,73.0,56.2,딥 플레이메이커,0.25,58.3,57.2,2022.0,47.6,1
c6e5d20f,Thiago Mendes,2020,MF,27.0,1812.0,Lyon,Ligue 1,True,38.2,47.1,56.6,57.8,75.8,54.1,딥 플레이메이커,0.11,56.0,55.0,2023.0,50.2,1
c6e8cf1f,Saša Lukić,2018,MF,20.0,994.0,Levante,La Liga,True,24.8,28.1,26.8,58.6,51.5,37.0,볼 운반형,0.02,34.4,35.7,2021.0,41.8,1
c6e8cf1f,Saša Lukić,2019,MF,21.0,989.0,Torino,Serie A,True,53.4,45.5,67.8,50.8,52.8,53.3,볼 운반형,0.15,52.3,52.8,2022.0,57.3,1
c6e8cf1f,Saša Lukić,2020,MF,22.0,1861.0,Torino,Serie A,True,24.7,48.6,24.4,60.0,54.2,43.3,수비형 파괴자,0.14,51.8,47.6,2022.0,57.3,1
c707411f,Kostas Manolas,2018,DF,26.0,2338.0,Roma,Serie A,True,56.0,52.7,29.2,73.4,57.7,57.7,빌드업 수비수,0.07,57.7,57.7,2021.0,43.6,1
c707411f,Kostas Manolas,2019,DF,27.0,2324.0,Roma,Serie A,True,52.4,22.3,25.0,73.7,60.6,52.3,스토퍼,0.93,59.1,55.7,2021.0,43.6,1
c707411f,Kostas Manolas,2020,DF,28.0,2176.0,Napoli,Serie A,True,68.1,43.1,14.6,62.9,52.8,50.3,빌드업 수비수,0.33,49.4,49.8,,,0
c710f7d5,Mirko Valdifiori,2020,MF,33.0,1400.0,SPAL,Serie A,True,28.4,41.8,69.2,60.4,56.6,51.2,딥 플레이메이커,1.23,54.9,53.0,,,0
c7259b83,Rolando Mandragora,2018,MF,20.0,3240.0,Crotone,Serie A,True,32.7,23.2,27.6,52.4,77.9,39.5,수비형 파괴자,0.79,58.5,49.0,2021.0,45.7,1
c7259b83,Rolando Mandragora,2019,MF,21.0,2918.0,Udinese,Serie A,True,38.5,18.6,30.5,56.4,64.2,38.4,수비형 파괴자,0.24,52.4,45.4,2022.0,56.4,1
c7259b83,Rolando Mandragora,2020,MF,22.0,2050.0,Udinese,Serie A,True,57.0,36.5,56.2,52.8,63.9,50.9,딥 플레이메이커,0.16,50.6,50.8,2022.0,56.4,1
c7526c18,Steven Nzonzi,2018,MF,28.0,2214.0,Sevilla,La Liga,True,38.3,56.6,31.6,69.0,78.0,54.5,수비형 파괴자,0.97,68.2,61.4,2021.0,54.6,1
